,모집직종,고용형태,임금형태,임금,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,Classification
0,주입·포장·상표부착기 등 기타 기계 조작원,1,0,9160,0,0,0,0,경기도 남양주시 다산중앙로19번길 21 (다산동) 5층 514호,0,생산/제조
1,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",1,0,9620,0,0,0,0,경기도 부천시 오정로 27-26 (삼정동),0,생산/제조
2,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",0,0,9650,0,0,보건학,0,경기도 안산시 단원구 적금로 123 (고잔동),4,서비스
3,단체 급식 보조원,1,0,9620,0,0,0,0,경기도 용인시 수지구 문인로 30 5층 현대그린푸드 (동천동),1,서비스
4,물류 사무원(물류 관리사),1,2,3200000,0,0,0,0,경기도 의왕시 장안남북로1길 4 .,1,서비스
5,총무 및 일반 사무원,0,3,30000000,0,0,0,0,경기도 하남시 위례대로4길 29 경영지원팀 (학암동),1,경영/사무
6,사무 보조원(공공기관),0,0,9620,0,0,0,0,경상남도 밀양시 밀양대로 2047 (교동),3,경영/사무
7,사무 보조원(공공기관),0,0,9620,0,0,0,0,경상남도 양산시 중앙로 39 503-3 (남부동),3,경영/사무
8,직업 운동선수,0,0,9620,0,0,0,0,경상남도 창원시 마산합포구 진전면 팔의사로 495 (주)고려이노테크,1,전문/특수직
9,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",2,0,9620,0,0,0,0,"경상남도 함안군 칠원면 유장길 433 (유원리, 사회복지법인가람 위드에이블)",2,생산/제조
10,직업 운동선수,1,0,9160,0,0,체육,0,경상북도 경산시 경산로44길 7 2층,2,전문/특수직
11,계기 검침원 및 가스 점검원,0,2,2000000,0,0,전기공학,0,경상북도 구미시 1공단로6길 94 영남에너지서비스,1,서비스
12,사서,0,0,9620,0,0,0,0,경상북도 김천시 구읍길 57 (삼락동),3,서비스
13,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),0,0,9620,0,0,0,0,경상북도 김천시 모암사랑10길 9 (모암동),3,생산/제조
14,환경 미화원,0,0,9620,0,0,0,0,경상북도 문경시 호계면 태봉1길 25 (호계면),3,서비스
15,사서,0,2,1000000,0,0,0,0,경상북도 성주군 성주읍 주천로 15-11 (예산리),3,서비스
16,환경 미화원,0,0,9160,0,0,0,0,경상북도 안동시 경동로 554 (당북동),3,서비스
17,주입·포장·상표부착기 등 기타 기계 조작원,1,0,9160,0,0,0,0,경상북도 안동시 북후면 광평2길 106-25 (도촌리),2,생산/제조
18,환경 미화원,0,0,9160,0,0,0,0,경상북도 안동시 송현동 380번지,3,서비스
19,음료 조리사(바리스타 포함),0,0,9620,0,0,0,0,경상북도 안동시 풍천면 도청대로 511 .(갈전리),3,서비스
20,사서,0,0,9620,0,0,0,0,"경상북도 의성군 의성읍 중리길 44 (중리리, 의성공공도서관)",3,서비스
21,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,0,9620,0,0,0,0,경상북도 칠곡군 석적읍 남율로12길 76 석적초등학교,3,서비스
22,학교행정 사무원(교무),0,0,9620,0,0,0,0,대구광역시 달서구 새방로 77 (용산동),3,경영/사무
23,환경 미화원,0,2,934000,0,0,0,0,대구광역시 동구 이노밸리로 255 (신서동) 새론중학교,3,서비스
24,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,0,9620,0,0,0,0,대구광역시 수성구 상화로 122-1 (두산동) 나라빌딩,1,서비스
25,섬유·의복 분야 단순 종사원,1,0,9620,0,0,0,0,"대전광역시 동구 매봉로 18 (가양동, 가양시장) 2층 제5호",1,생산/제조
26,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,0,9620,0,0,0,0,부산광역시 기장군 정관읍 예림1로 82 장애인공존협회,1,서비스
27,지하철 택배원,1,2,1020000,0,0,0,0,서울특별시 종로구 종로43길 9 종로행복일굼터 2~3층 (종로6가),1,무역/유통
28,모니터 요원,0,2,900000,0,0,0,0,서울특별시 종로구 청계천로 1 동아미디어센터 (서린동),4,서비스
29,사무 보조원(공공기관),0,2,2010580,0,0,0,0,"세종특별자치시 정부2청사로 10 3충 301, 302호(나성동)",1,경영/사무
30,사무 보조원(공공기관),0,0,9620,0,0,0,0,울산광역시 남구 돋질로 233 (달동),3,경영/사무
31,사무 보조원(공공기관),0,0,9620,0,0,0,0,울산광역시 동구 봉수로 155 (화정동),3,경영/사무
32,사무 보조원(공공기관),0,0,9620,0,0,0,0,울산광역시 북구 산업로 1010 (연암동) (연암동),3,경영/사무
33,사무 보조원(공공기관),0,0,9620,0,0,0,0,울산광역시 울주군 청량읍 군청로 1 (울주군청),3,경영/사무
34,사무 보조원(공공기관),0,0,9620,0,0,0,0,울산광역시 중구 단장골길 1 (복산동 180-1),3,경영/사무
35,가족·학교·아동·청소년·노인·중독 등 상담 전문가,0,0,9620,0,0,0,0,"울산광역시 중구 염포로 26 상가 304호, 울산장애인부모회 (반구동, 유로캐슬)",1,서비스
36,안마사,0,0,9620,0,0,0,0,"울산광역시 중구 학성로 150 (학산동), 5층",2,서비스
37,의료 보조원,0,0,9160,0,0,0,0,인천광역시 부평구 동수로 56  (부평동),1,의료
38,음료 조리사(바리스타 포함),1,0,9620,0,0,0,0,전라남도 여수시 웅천6길 51 (웅천동) 2층,2,서비스
39,복지시설 보조원,0,2,1200000,0,0,0,0,제주특별자치도 제주시 광양4길 32 3층 (이도일동),2,의료
40,안마사,0,2,1200000,0,0,0,0,제주특별자치도 제주시 서사로 149-1 2층(삼도일동),2,서비스
41,안마사,0,2,1200000,0,0,0,0,"제주특별자치도 제주시 아봉로 433 (월평동), 제주시 아봉로 433",2,서비스
42,모니터 요원,0,2,2185370,0,0,0,0,강원도 원주시 천매봉길 19  (단구동),1,서비스
43,안마사,0,2,1600000,0,0,0,0,경기도 성남시 분당구 판교역로 220 (삼평동),4,서비스
44,기타 전자 부품·제품 조립·검사원,1,3,27000000,0,0,0,0,"경기도 성남시 중원구 둔촌대로388번길 24 810,811호",1,생산/제조
45,고객 상담원(A/S·고장·제품사용),1,0,9620,0,1,0,0,경기도 평택시 안중읍 성해1길 15 15번지,1,교육
46,LED 부품·제품 조립·검사원,1,2,1005290,0,0,0,0,"경기도 하남시 하남대로 947 하남테크노밸리 U1센터 C동 301, 302호",1,생산/제조
47,사무 보조원(공공기관),0,0,9620,0,0,0,0,경상북도 구미시 고아읍 들성로9길 13 .,3,경영/사무
48,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,0,9620,0,0,0,0,경상북도 구미시 고아읍 들성로9길 13 .,3,서비스
49,환경 미화원,0,0,9620,0,0,0,0,경상북도 구미시 광평동 299-3번지,3,서비스
50,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),0,0,9620,0,0,0,0,경상북도 구미시 금오산로 198-14 (남통동),3,생산/제조
51,사무 보조원(공공기관),0,0,9620,0,0,0,0,경상북도 구미시 산동읍 신당인덕3로 25 .,3,경영/사무
52,환경 미화원,0,0,9620,0,0,0,0,경상북도 구미시 오태동 산 107-2번지,3,서비스
53,사무 보조원(공공기관),0,0,9620,0,0,0,0,경상북도 구미시 왕산로 32 (임은동),3,경영/사무
54,사무 보조원(공공기관),0,0,9620,0,0,0,0,경상북도 구미시 해평면 강동로 1654 (월호리),3,경영/사무
55,환경 미화원,0,0,9620,0,0,0,0,경상북도 구미시 해평면 강동로 1654 (월호리),3,서비스
56,사무 보조원(공공기관),0,0,9620,0,0,0,0,경상북도 구미시 형곡동로 1-5 (형곡동),3,경영/사무
57,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,0,9620,0,0,0,0,경상북도 구미시 형곡로38길 9-14 (형곡동),3,서비스
58,사무 보조원(공공기관),0,0,9620,0,0,0,0,경상북도 김천시 충효길 19 (성내동),3,경영/사무
59,세탁원(다림질원),0,0,9620,0,0,0,0,경상북도 포항시 남구 청림로 31 경상북도 포항시 남구 청림로 31(청림동),0,서비스
60,안마사,1,0,9620,0,0,0,0,경상북도 포항시 북구 법원로 1 모던빌딩(장성동),1,서비스
61,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",1,0,9620,0,0,0,0,경상북도 포항시 북구 소티재로 69-10  (우현동),1,생산/제조
62,직업 운동선수,0,2,1200000,0,0,정보·통신공학,0,대구광역시 동구 동내로 76 한국메디벤처센터빌딩 10층 1005호 (동내동),1,전문/특수직
63,사무 보조원(공공기관),0,0,9620,0,0,0,0,대구광역시 중구 공평로 88 대구시청 (동인동1가),3,경영/사무
